Company/Brand,Founded,Headquarters,Industry,Industry Head,What it Does,Founder/s,Investor/s,Amount,Stage
NFTically,2021,Gurgaon,NFT,FinTech,"NFTically is a global B2B SaaS that enables celebrities, influencers, gamers, clubs & enterprises to launch their own white-label NFT store or NFT Marketplace without any technical knowledge.",Toshendra Sharma,"Nitish Mittersain, Gaurav Munjal","$1,000,000",Seed
Lysto,2021,Bangalore,NFT,FinTech,"Lysto is building APIs, Tools & Infrastructure to enable the creation & distribution of NFTs across platforms with a few clicks or few lines of code.",Sadiq Ahamed,BEENEXT,"$3,000,000",Seed
NFTically,2021,Gurgaon,NFT Marketplace,FinTech,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",Toshendra Sharma,Jayanti Kanani,,Seed
Power Gummies,2018,New Delhi,Nutrition,Health,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,"Venture Catalysts, 9unicorns","$1,000,000",
Buyofuel,2020,Coimbatore,Oil & Energy,Oil and energy,Green Fuels Marketplace,"Kishan Karunakaran, Venkateswaran Selvan, Sumanth Kumar",Inflection Point Ventures,"$100,000",Seed
Fuel Buddy,2017,New Delhi,Oil and Energy,Oil and energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,Jaipuria Family Office,"$1,000,000",
Bluepad,2020,Bangalore,Online Media,Media,A one-stop solution for aggregated content in vernacular languages,"Sanjyot Bhosale, Devakrishna Asokar, Kishore Garimella","Titan Capital, AngelList's syndicate","$200,000",Pre-seed
Frenzi,2020,Mumbai,Online Media,Media,India’s Fastest Growing Streaming Social Network,"Balkrishna Singh, Harvinderjit Singh Bhatia",SucSEED Indovation Fund,,Seed
Bluepad,2020,Bangalore,Online Media,Media,A one-stop solution for aggregated content in vernacular languages,"Sanjyot Bhosale, Devakrishna Asokar, Kishore Garimella","Titan Capital, AngelList's syndicate","$200,000",Pre-seed
Frenzi,2020,Mumbai,Online Media,Media,India’s Fastest Growing Streaming Social Network,"Balkrishna Singh, Harvinderjit Singh Bhatia",SucSEED Indovation Fund,,Seed
Knocksense,2016,Lucknow,Online Media,Media,Knocksense is a local news and recommendations platform.,"Varul Mayank, Vibhore Mayank","We Founder Circle, Appyhigh, Mumbai Angels","$150,000",
FRND,2019,Bangalore,Online Media,Media,FRND is an audio dating app for Bharat,"Bhanu Pratap Singh Tanwar, Hardik Bansal, Harshvardhan Chhangani",KRAFTON,"$6,500,000",Series A
Pratilipi,2015,Bangalore,Online storytelling,Media,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.",Ranjeet Pratap Singh,"Krafton Inc, Omidyar","$48,000,000",
Pocket FM,2018,Bangalore,OTT,Media,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Rohan, Nishanth Srinivas, Prateek Dixit","Lightspeed, Times Group, Tanglin Venture Partners","$22,000,000",Series B
Scentials,2018,Mumbai,Personal Care,Consumer Goods,Scentials is building a unique beauty brands studio platform,"Mahesh Bhupathi, Jinesh Mehta","Ambiga Subramanian, Goutham Ekollu","$6,000,000",
Supertails,2021,Bangalore,Pet care,Pet,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Vineet Khanna, Varun Sadana, Aman Tekriwal","Saama Capital, DSG Consumer Partners","$2,600,000",Pre-series A
Heads Up For Tails,2008,New Delhi,Pet care,Pet,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",Rashi Sanon,"Verlinvest, Sequoia Capital India","$37,000,000",Series A
Hubhopper,2015,New Delhi,Podcast,Media,"Hubhopper is India's leading podcast hosting, creation & distribution platform. Getting podcast across both Indian & global audio platforms",Gautam Raj Anand,"ITI Growth Opportunities Fund, Unit-E Ventures",,
Devic Earth,2018,Bangalore,Pollution control equiptment,Consumer Goods,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",Dr Srikanth Sola,Blue Ashva Capital,"$1,000,000",
Fullife Healthcare,2009,Mumbai,Pharma,Pharma,Varun Khanna,Morgan Stanley Private Equity Asia,,,
AppsForBharat,2020,Bangalore,Product studio,Internet,"A mission to assist a billion Indians in their spiritual journey, through a range of products & services",Prashant Sachan,Elevation Capital,"$10,000,000",Series A
Alpha Coach,2021,Mumbai,Professional Training & Coaching,EdTech,One to One Personal Fitness Coaching,Ketan Mavinkurve,Jani Ventures INC,"$1,200,000",
GENLEAP,2021,Haryana,Professional Training & Coaching,EdTech,GenLeap is India’s first self-discovery and career lifecycle management platform.,"Sachin Sandhir, Nimish Gupta, Nitin Thakur, Shweta Kataria","Vivek Vaidya, Kevin Donlon, Ayush Singh","$8,000,000",Seed
Method & Madness,2020,Mumbai,Real Estate,Finance,Method & Madness Technology operates as a real-estate tech company.,Aditya Jhaveri,Justin Mateen,"$2,000,000",Seed
BricSpaces,2018,Bangalore,Real estate,Finance,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",Madhusudhan,Angel investors,"$350,000",Pre-seed
Strata,2019,Bangalore,Real Estate,Finance,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech","$6,000,000",Series A
Square Yards,2014,Gurgaon,Real Estate,Finance,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,Tanuj Shori,ADM Capital,"$25,000,000",
NoBroker.com,2014,Bangalore,Real Estate,Finance,NoBroker is a disruptive force in the Real Estate Industry.,"Akhil Gupta, Amit, Saurabh","General Atlantic, Tiger Global, Moore Strategic Ventures","$2,100,000",Series E
Settl,2020,Bangalore,Real Estate,Finance,Settl. is a technology-driven accommodation platform focused on providing a convenient and high-quality living experience for young millennials.,"Abhishek Tripathi, Bharath Bhaskar, Ashok Reddy","ah! Ventures, We Founder Circle","$500,000",Seed
PropReturns,2020,Mumbai,Real Estate,Finance,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,"Jayant Panwar, Kenish Shah","Y Combinator , Goodwater Capital","$1,200,000",
TheHouseMonk,2019,Bangalore,Real Estate,Finance,A complete property management software platform for team&customers.,"Ajay Kumar, Balaji Varadharajan",Aurum Proptech,"$5,000,000",
Apna.co,2019,Bangalore,Recruitment,HR,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,Nirmit Parikh,"Sequoia Capital India, Rocketship.vc","$12,500,000",
GetWork,2019,Gurgaon,Recruitment,HR,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,Artha Venture Fund,"$200,000",Seed
BigLeap,2015,Hyderabad,Recruitment,HR,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,"Jamesh Johnson, Sainath Malkapuram Goud",Anup Kumar Yama,"$600,000",
Apna,2019,Bangalore,Recruitment,HR,India's largest professional networking & job opportunities platform for the rising workforce.,Nirmit Parikh,Tiger Global,"$100,000,000",Series C
Smartstaff,2020,Bangalore,Recruitment,HR,Smartstaff (previously Qikwork) is a full stack blue-collar workforce management platform.,"Arpit Dave, Viral Chhajer, Gnanesh Chilukuri, Aravind Reddy","Blume Ventures, Nexus Venture Partners","$4,300,000",
Apna,2019,Bangalore,Recruitment,HR,India's largest professional networking & job opportunities platform for the rising workforce.,Nirmit Parikh,Tiger Global,"$100,000,000",Series C
Freyr Energy,2014,Hyderabad,Renewable Energy,Oil and energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners","$2,000,000",
Smart Joules,2014,New Delhi,Renewable Energy,Oil and energy,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm","$49,000,000",
WESS,1989,Mumbai,Renewable Energy,Oil and energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Centrum Financial Services,"$2,000,000",Seed
Magenta EV,2017,Mumbai,Renewable Energy,Oil and energy,Magenta is in the business of Enabling electric mobility & Making electricity clean,"Maxson Lewis, Darryl Dias","JITO Angel Network, LetsVenture","$15,000,000",Series A
Greenjoules,2018,Pune,Renewable Energy,Oil and energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,"$4,500,000",Series A
Chargeup,2019,New Delhi,Renewable Energy,Oil and energy,"""Battery as a Service"" for 3 wheeler & 2 wheelers","Varun Goenka, Akshay Kashyap",Mapmyindia,,Pre-series A
Indi Energy,2019,Roorkee,Renewables & Environment,Oil and energy,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",Dr. ASIT SAHOO,Mumbai Angels Network,,Seed
Phool.co,2017,Kanpur,Renewables & Environment,Oil and energy,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,Ankit Agarwal,"Alia Bhatt, IAN Fund, Social Alpha, Draper Richards Kaplan Foundation",,
Battery Smart,2019,New Delhi,Renewables & Environment,Oil and energy,Battery Smart is building India’s largest network of battery swapping stations providing Li-ion batteries,"Pulkit Khurana, Siddharth Sikka","Blume Ventures, Orios Ventures","$7,000,000",Pre-series A
PumPumPum,2018,Gurgaon,Rental,Services,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank","$700,000",Pre-series A
MYBYK,2014,Ahmedabad,Rental,Services,MYBYK is an app that provides premium bicycle sharing and rental service.,Arjit Soni,Avon Cycles,"$1,000,000",Pre-series A
Settlrs,2018,Bangalore,Rental space,Services,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.","Gaurav Ranebennur, Nishanth Janadri",MaGEHold Pte. Ltd.,,Pre-series A
Livve Homes,2017,Bangalore,Rental space,Services,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",Maya Lakshman,Angel investors,"$5,000,000",
SuperK,2019,Andhra Pradesh,Retail,E-Commerce,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,"$800,000",Seed
Spinny,2015,Gurgaon,Retail,E-Commerce,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments","$65,000,000",Series C
DusMinute,2017,Bangalore,Retail,E-Commerce,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,"$1,100,000",Pre-series A
6Degree,2014,Mumbai,Retail,E-Commerce,6Degree is a fashion retail startup that provides a launchpad to fashion talent and brands using a tech-enabled platform.,"Amit Bhardwaj, Nikhil Hegde","Keiretsu Forum, SucSEED Venture Partners","$1,000,000",
DealShare,2018,Bangalore,Retail,E-Commerce,The next generation disruptive (social) e-commerce product for the masses.,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global,"$144,000,000",
IsGoingOnline,2015,Cochin,Retail,E-Commerce,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah","$200,000",
IsGoingOnline,2015,Cochin,Retail,E-Commerce,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah","$200,000",Pre-series A
1K Kirana Bazaar,2018,Gurgaon,Retail,E-Commerce,India's First and Largest Network of Small-Town Kirana Stores,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh","Info Edge, FalconEdge","$7,000,000",
SuperZop,2016,Mumbai,Retail,E-Commerce,SuperZop is India's first and only vernacular B2B Grocery e-commerce platform that is transforming the unorganized retail sector.,"Raghuveer Allada, Prithwi Singh, Darshan Krishnamurthy",Incofin’s India Progress Fund,"$4,000,000",Series A
Gobbly,2019,Gurgaon,Retail,E-Commerce,A 24x7 automated retail store filled with daily essentials.,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC","$900,000",Pre-series A
Dukaan,2020,Bangalore,Retail,E-Commerce,"Help forward thinking entrepreneurs by providing them the platform to start, grow, and manage their business online.","Suumit Shah, Subhash Choudhary","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns","$11,000,000",Series A
F5,2018,New Delhi,Retail,E-Commerce,One-Stop Solution for Daily Workplace Needs,"Raghav Arora, Lalit Aggarwal",Auxano Capital,"$600,000",Pre-Series A
ClearDekho,2016,Ghaziabad,Retail,E-Commerce,ClearDekho is India’s Leading Affordable Eyewear Brand.,"Saurabh Dayal, Shivi Singh",Aroa Ventures,"$4,000,000",Pre-series A
Shumee,2014,Bangalore,Retail,E-Commerce,"An Indian, mom-made toy brand passionate about making playtime development-friendly, child-safe, and sustainable. Our design philosophy is that play is 90% child and 10% toy.",Meeta Sharma Gupta,Dia Mirza,,
LoveLocal,2015,Mumbai,Retail,E-Commerce,LoveLocal (formerly known as m.Paani) is bringing Trusted Local Shops Online and empowering them to deliver the neighbourhood shopping experience of the future.,Akanksha Hazari,Vulcan Capital,"$18,000,000",Pre-series B
SuperZop,2016,Mumbai,Retail,E-Commerce,SuperZop is India's first and only vernacular B2B Grocery e-commerce platform that is transforming the unorganized retail sector.,"Raghuveer Allada, Prithwi Singh, Darshan Krishnamurthy",Incofin’s India Progress Fund,"$4,000,000",Series A
Gobbly,2019,Gurgaon,Retail,E-Commerce,A 24x7 automated retail store filled with daily essentials.,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC","$900,000",Pre-series A
Dukaan,2020,Bangalore,Retail,E-Commerce,"Help forward thinking entrepreneurs by providing them the platform to start, grow, and manage their business online.","Suumit Shah, Subhash Choudhary","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns","$11,000,000",Series A
VilCart,2017,Bangalore,Retail,E-Commerce,Vilcart's motto is sustainable rural development through stability for rural retailers.,Prasanna Kumar,Nabventures,"$2,000,000",
Xpand,2021,New Delhi,Retail,E-Commerce,LMCE handholds brands and enables their reach across the UNSERVED & UNDER-SERVED pockets of the country in a SUSTAINABLE manner to drive MEASURABLE growth.,Sanjay Kaul,"Akash Prakash, Madhu Jayakumar, Dipinder Sandhu, Shagun Khandelwal","$1,500,000",Pre-series A
Nestasia,2018,Kolkata,Retail,E-Commerce,"Artisanal, Handmade, bio conscious crafts from South East Asia.","Aditi Murarka Agrawal, Anurag Agrawal","Varun Alagh, Sahil Barua","$4,000,000",Series A
